Logging to tmp/20_Slime-v1_2021_12_04_00_42
---------------------------------
| rollout/           |          |
|    ep_len_mean          | 608         |
|    ep_rew_mean          | -4.92       |
| time/                   |             |
|    fps                  | 1569        |
|    iterations           | 15          |
|    time_elapsed         | 19          |
|    total_timesteps      | 30720       |
| train/                  |             |
|    approx_kl            | 0.005955592 |
|    clip_fraction        | 0.0414      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.97       |
|    explained_variance   | 0.773       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00758    |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.00752    |
|    value_loss           | 0.0176      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 610          |
|    ep_rew_mean          | -4.91        |
| time/                   |              |
|    fps                  | 1567         |
|    iterations           | 16           |
|    time_elapsed         | 20           |
|    total_timesteps      | 32768        |
| train/                  |              |
|    approx_kl            | 0.0076489793 |
|    clip_fraction        | 0.0674       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.94        |
|    explained_variance   | 0.776        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.00813      |
|    n_updates            | 150          |
|    policy_gradient_loss | -0.0121      |
|    value_loss           | 0.019        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 616         |
|    ep_rew_mean          | -4.89       |
| time/                   |             |
|    fps                  | 1565        |
|    iterations           | 17          |
|    time_elapsed         | 22          |
|    total_timesteps      | 34816       |
| train/                  |             |
|    approx_kl            | 0.006370847 |
|    clip_fraction        | 0.0441      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.96       |
|    explained_variance   | 0.796       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0245     |
|    n_updates            | 160         |
|    policy_gradient_loss | -0.00788    |
|    value_loss           | 0.0175      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 616         |
|    ep_rew_mean          | -4.9        |
| time/                   |             |
|    fps                  | 1562        |
|    iterations           | 18          |
|    time_elapsed         | 23          |
|    total_timesteps      | 36864       |
| train/                  |             |
|    approx_kl            | 0.009226405 |
|    clip_fraction        | 0.0844      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.95       |
|    explained_variance   | 0.778       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0203     |
|    n_updates            | 170         |
|    policy_gradient_loss | -0.00914    |
|    value_loss           | 0.0187      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 612         |
|    ep_rew_mean          | -4.89       |
| time/                   |             |
|    fps                  | 1558        |
|    iterations           | 19          |
|    time_elapsed         | 24          |
|    total_timesteps      | 38912       |
| train/                  |             |
|    approx_kl            | 0.008599108 |
|    clip_fraction        | 0.0806      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.94       |
|    explained_variance   | 0.789       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00639    |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.00995    |
|    value_loss           | 0.0175      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 607         |
|    ep_rew_mean          | -4.9        |
| time/                   |             |
|    fps                  | 1556        |
|    iterations           | 20          |
|    time_elapsed         | 26          |
|    total_timesteps      | 40960       |
| train/                  |             |
|    approx_kl            | 0.006147661 |
|    clip_fraction        | 0.0578      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.94       |
|    explained_variance   | 0.777       |
|    learning_rate        | 0.0003      |
|    loss                 | 5.25e-05    |
|    n_updates            | 190         |
|    policy_gradient_loss | -0.00802    |
|    value_loss           | 0.0154      |
-----------------------------------------
